Image Name	Current Image Index	Crack Length	Number of Cycles
000-pins.jpg	0.0	-3.226029713039093	0.0
026.jpg	1.0	-7.577114462139975	0.0
027.jpg	2.0	-8.244873455961395	160000.0        -> changed to 160000. Bedfore it was 130000 but that was just the step!
028.jpg	3.0	-8.477695012576255	253000.0
029.jpg	4.0	-8.809689828059474	350000.0
030.jpg	5.0	-8.80394316450745	350000.0
031.jpg	6.0	-9.05447680262057	400000.0
032.jpg	7.0	-9.14445821997589	450000.0
033.jpg	8.0	-9.615162686055028	493524.0
034.jpg	9.0	-10.171194754440318	550000.0
035.jpg	10.0	-10.130667089017974	550000.0
036.jpg	0.0	-10.532314683684653	600000.0
037.jpg	1.0	-11.008521141738145	650000.0
038.jpg	2.0	-11.582069050398594	700000.0
039.jpg	3.0	-11.612774573891388	700000.0
040.jpg	4.0	-11.92638402168744	750000.0
041.jpg	5.0	-12.209383515692355	775000.0
042.jpg	6.0	-12.373529134327864	790000.0
043.jpg	7.0	-12.652621010671698	810000.0
044.jpg	8.0	-12.946863763533534	830000.0
045.jpg	9.0	-13.097401040398793	840000.0
046.jpg	10.0	-13.22340680619313	850000.0
047.jpg	11.0	-13.28351007038567	855000.0
048.jpg	0.0	-13.369328348246885	860000.0
049.jpg	1.0	-13.419917032371188	865000.0
050.jpg	2.0	-13.572682152918048	870000.0
051.jpg	3.0	-13.59378063770395	875000.0
052.jpg	4.0	-13.616113395082397	880000.0
053.jpg	5.0	-13.804527287354496	890000.0
054.jpg	6.0	-13.982386293417528	900000.0
055.jpg	7.0	-14.152700947065656	910000.0
056.jpg	8.0	-14.316633705820248	920000.0
057.jpg	0.0	-14.794782962803728	940000.0
058.jpg	1.0	-15.396298135496707	960000.0
059.jpg	2.0	-15.415489374142325	960000.0
060.jpg	3.0	-15.845941736364683	970000.0
061.jpg	4.0	-16.43521856433028	980000.0
062.jpg	5.0	-16.845181736212417	985000.0
063.jpg	6.0	-17.28852257446954	990000.0
